Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
A	PROPIONIC ACIDEMIA | PONTOCEREBELLAR HYPOPLASIA, TYPE 12; PCH12 | METACHROMATIC LEUKODYSTROPHY; MLD | DIGEORGE SYNDROME; DGS | WITTEVEEN-KOLK SYNDROME; WITKOS | LEIGH SYNDROME; LS | HYPERBILIVERDINEMIA; HBLVD | POLYDACTYLY, POSTAXIAL, TYPE A9; PAPA9 | RIBOSE 5-PHOSPHATE ISOMERASE DEFICIENCY; RPIAD | SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 3; SMDP3 | T-CELL LYMPHOMA, SUBCUTANEOUS PANNICULITIS-LIKE; SPTCL | BARTTER SYNDROME, TYPE 4B, NEONATAL, WITH SENSORINEURAL DEAFNESS; BARTS4B | ATRIAL FIBRILLATION, FAMILIAL, 6; ATFB6 | NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6; NBIA6 | TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS; STAR | ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO; AD9 | CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID; ARCL2D | TOOTH AGENESIS, SELECTIVE, X-LINKED, 1; STHAGX1 | VATER/VACTERL ASSOCIATION | CORTICOSTEROID-BINDING GLOBULIN DEFICIENCY | MENTAL RETARDATION, AUTOSOMAL DOMINANT 31; MRD31 | PREMATURE OVARIAN FAILURE 7; POF7 | EPILEPTIC ENCEPHALOPATHY, INFANTILE OR EARLY CHILDHOOD, 3; IECEE3 | GLYCOGEN STORAGE DISEASE XI; GSD11 | MICROCEPHALY, SHORT STATURE, AND IMPAIRED GLUCOSE METABOLISM 1; MSSGM1 | OSTEOGENESIS IMPERFECTA, TYPE XVIII; OI18 | SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT | IMMUNODEFICIENCY, COMMON VARIABLE, 5; CVID5 | CANDIDIASIS, FAMILIAL, 4; CANDF4 | ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR | BASAN SYNDROME | CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN | FG SYNDROME 2; FGS2 | ADERMATOGLYPHIA; ADERM | FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1 | EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 61; EIEE61 | PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 1; PNH1 | MESOMELIA-SYNOSTOSES SYNDROME | FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1 | GLYCOGEN STORAGE DISEASE XII; GSD12 | ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED; XHED | SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 22; SCAR22 | CORONARY ARTERY DISEASE, AUTOSOMAL DOMINANT, 1; ADCAD1 | MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2 | AICARDI-GOUTIERES SYNDROME 4; AGS4 | PERIVENTRICULAR NODULAR HETEROTOPIA 1; PVNH1 | DEAFNESS-INFERTILITY SYNDROME; DIS | MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA | TAY-SACHS DISEASE; TSD | ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4B; ARCI4B | THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE; TCPT | HURIEZ SYNDROME; HRZ | LEUKODYSTROPHY, HYPOMYELINATING, 5; HLD5 | MILLER-DIEKER LISSENCEPHALY SYNDROME; MDLS | COFFIN-SIRIS SYNDROME 4; CSS4 | INSULINOMATOSIS AND DIABETES MELLITUS; INSDM | 46,XX SEX REVERSAL 4; SRXX4 | TRICHORHINOPHALANGEAL SYNDROME, TYPE II; TRPS2 | CRANIOLENTICULOSUTURAL DYSPLASIA; CLSD | PEELING SKIN SYNDROME 4; PSS4 | AMELOGENESIS IMPERFECTA, TYPE IG; AI1G | DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1; DKCB1 | KENNY-CAFFEY SYNDROME, TYPE 2; KCS2 | MIGRAINE, FAMILIAL HEMIPLEGIC, 3; FHM3 | HYPERTRICHOSIS, CONGENITAL GENERALIZED, WITH OR WITHOUT GINGIVAL HYPERPLASIA; HTC3 | LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7 | INTELLECTUAL DEVELOPMENTAL DISORDER WITH OR WITHOUT EPILEPSY OR CEREBELLAR ATAXIA; IDDECA | SPERMATOGENIC FAILURE 8; SPGF8 | MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA); MTDPS9 | OTOPALATODIGITAL SYNDROME, TYPE II; OPD2 | FABRY DISEASE | MELNICK-NEEDLES SYNDROME; MNS | GHOSAL HEMATODIAPHYSEAL DYSPLASIA; GHDD | BRUNNER SYNDROME; BRNRS | CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iw; CDG1W | RHABDOID TUMOR PREDISPOSITION SYNDROME 2; RTPS2 | CHROMOSOME 16q22 DELETION SYNDROME | INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED | ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE; ACRDYS1 | ATAXIA-TELANGIECTASIA-LIKE DISORDER 1; ATLD1 | AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 2; PLCA2 | MENTAL RETARDATION, AUTOSOMAL DOMINANT 36; MRD36 | RETINITIS PIGMENTOSA 19; RP19 | 3-HYDROXY-3-METHYLGLUTARYL-CoA LYASE DEFICIENCY; HMGCLD | 46,XY SEX REVERSAL 3; SRXY3 | TERMINAL OSSEOUS DYSPLASIA; TOD | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 12; MC1DN12 | DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2; DKCB2 | TANGIER DISEASE; TGD | EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 6; EIEE6 | FIBRODYSPLASIA OSSIFICANS PROGRESSIVA; FOP | PARAGANGLIOMAS 5; PGL5 | HYPERCALCEMIA, INFANTILE, 1; HCINF1 | MUCOPOLYSACCHARIDOSIS-PLUS SYNDROME; MPSPS | IMMUNODEFICIENCY 51; IMD51 | EPISODIC PAIN SYNDROME, FAMILIAL, 1; FEPS1 | MITOCHONDRIAL DNA DEPLETION SYNDROME 15 (HEPATOCEREBRAL TYPE); MTDPS15 | ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 4A; ARCI4A | UV-SENSITIVE SYNDROME 3; UVSS3 | GRACILE BONE DYSPLASIA; GCLEB | FANCONI RENOTUBULAR SYNDROME 3; FRTS3 | CHROMOSOME 15q26-qter DELETION SYNDROME | FANCONI ANEMIA, COMPLEMENTATION GROUP A; FANCA | C1q DEFICIENCY; C1QD	Isolated cases, AD, Digenic recessive, XLD, AR, XLR, X-linked, Somatic mutation	skeletalSkull, abdomenBiliaryTract, respiratoryLarynx, abdomenPancreas, headAndNeckNose, neoplasia, chestDiaphragm, respiratoryNasopharynx, abdomenSpleen, cardiovascularVascular, respiratoryAirways, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, metabolicFeatures, genitourinaryInternalGenitaliaFemale, growthOther, growthWeight, prenatalManifestationsPlacentaAndUmbilicalCord, growthHeight, hematology, neurologicPeripheralNervousSystem, prenatalManifestationsMovement, headAndNeckEyes, skinNailsHairNails, respiratory, immunology, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, genitourinaryBladder, genitourinaryUreters, neurologic, voice, skinNailsHairSkin, prenatalManifestationsAmnioticFluid, skeletalPelvis, genitourinaryKidneys, headAndNeckEars, skeletalFeet, headAndNeckFace, abdomenLiver, skeletalHands, prenatalManifestationsDelivery, headAndNeckNeck, neurologicCentralNervousSystem, endocrineFeatures, muscleSoftTissue, genitourinaryExternalGenitaliaFemale, skinNailsHairSkinElectronMicroscopy, abdomenExternalFeatures, chestBreasts, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalSpine, abdomen, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, genitourinaryInternalGenitaliaMale, skinNailsHairHair
KISS1R	PRECOCIOUS PUBERTY, CENTRAL, 1; CPPB1 | HYPOGONADOTROPIC HYPOGONADISM 8 WITH OR WITHOUT ANOSMIA; HH8	AR, AD	genitourinaryExternalGenitaliaMale, chestBreasts, endocrineFeatures, skeletal, skinNailsHairHair, genitourinaryInternalGenitaliaFemale
IXA	MYASTHENIC SYNDROME, CONGENITAL, 24, PRESYNAPTIC; CMS24	AR	respiratory, abdomenGastrointestinal, skeletal, skeletalLimbs, prenatalManifestationsMovement, skeletalHands, headAndNeckEyes, skeletalFeet, muscleSoftTissue, neurologicCentralNervousSystem
ATP6V0A2	WRINKLY SKIN SYNDROME; WSS | CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A	AR	skinNailsHairSkin, skeletalSkull, skeletalPelvis, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, voice, prenatalManifestationsDelivery, neurologicCentralNervousSystem, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, muscleSoftTissue, abdomenExternalFeatures, growthOther, headAndNeckHead, abdomenGastrointestinal, growthHeight, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, skinNailsHairNails, respiratory, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, skeletalSpine, skinNailsHairHair
DKBI	DYSKERATOSIS, HEREDITARY BENIGN INTRAEPITHELIAL; HBID	AD	skinNailsHairSkin, headAndNeckMouth, headAndNeckEyes
MUC7	ASTHMA, SUSCEPTIBILITY TO	Autosomal dominant vs. multifactorial	
CD46	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 2; AHUS2	AR	cardiovascularVascular, immunology, hematology, laboratoryAbnormalities, genitourinaryKidneys
KYNU	HYDROXYKYNURENINURIA | VERTEBRAL, CARDIAC, RENAL, AND LIMB DEFECTS SYNDROME 2; VCRL2	AR	neurologicCentralNervousSystem, genitourinaryKidneys, headAndNeckEars, skeletalFeet, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, cardiovascularHeart, headAndNeckNose, laboratoryAbnormalities, skeletalSpine, growthHeight, skeletalLimbs, headAndNeckHead
L6	SPECIFIC LANGUAGE IMPAIRMENT 5; SLI5	AD	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem
HIKESHI	LEUKODYSTROPHY, HYPOMYELINATING, 13; HLD13	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletal, headAndNeckEyes, muscleSoftTissue
L5	DIAMOND-BLACKFAN ANEMIA 6; DBA6	AD	growthOther, cardiovascularHeart, respiratoryAirways, headAndNeckMouth, hematology, skeletalHands, headAndNeckEyes, laboratoryAbnormalities
MCT8	ALLAN-HERNDON-DUDLEY SYNDROME; AHDS	X-linked	neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, neurologicBehavioralPsychiatricManifestations, skeletalFeet
L3	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 9; COXPD9	AR	growthOther, neurologicCentralNervousSystem, laboratoryAbnormalities, abdomenGastrointestinal, cardiovascularHeart, respiratory, abdomenLiver
VMA21	MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX	XLR	respiratory, cardiovascularHeart, skeletal, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue
L1	HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS; HSAS | MASA SYNDROME | SPASTIC PARAPLEGIA 79, AUTOSOMAL RECESSIVE; SPG79	AR, XLR	neurologicCentralNervousSystem, headAndNeckHead, skeletal, skeletalFeet, growthHeight, neurologicPeripheralNervousSystem, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue
AGC1	SPONDYLOEPIPHYSEAL DYSPLASIA, KIMBERLEY TYPE; SEDK	AD	growthOther, skeletalPelvis, skeletalSpine, skeletal, growthHeight, skeletalLimbs
SP7	OSTEOGENESIS IMPERFECTA, TYPE XII; OI12	AR	skeletalSkull, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, skeletalSpine
SASH1	CANCER, ALOPECIA, PIGMENT DYSCRASIA, ONYCHODYSTROPHY, AND KERATODERMA; CAPOK	AR	skinNailsHairSkin, endocrineFeatures, skinNailsHairNails
MRX73	MENTAL RETARDATION, X-LINKED 73; MRX73	XLR	headAndNeckFace, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem
RAB23	CARPENTER SYNDROME 1; CRPT1	AR	skeletalSkull, headAndNeckHead, skeletalPelvis, genitourinaryKidneys, abdomenExternalFeatures, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, genitourinaryUreters, skeletalSpine
NIPAL4	ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 6; ARCI6	AR	skinNailsHairSkinElectronMicroscopy, skinNailsHairSkinHistology, skinNailsHairSkin, headAndNeckEyes, skinNailsHairNails
TBL1Y	DEAFNESS, Y-LINKED 2; DFNY2	Y-linked	headAndNeckEars
CFH	COMPLEMENT FACTOR H DEFICIENCY; CFHD | BASAL LAMINAR DRUSEN | HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1; AHUS1	AR, AD	neurologicCentralNervousSystem, immunology, genitourinaryKidneys, abdomenGastrointestinal, hematology, laboratoryAbnormalities, cardiovascularVascular, metabolicFeatures
CFI	COMPLEMENT FACTOR I DEFICIENCY; CFID | MACULAR DEGENERATION, AGE-RELATED, 13; ARMD13 | HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 3; AHUS3	AR, AD	skinNailsHairSkin, respiratory, cardiovascularVascular, genitourinaryKidneys, headAndNeckEars, skeletal, hematology, genitourinaryBladder, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, immunology, headAndNeckHead
RAB28	CONE-ROD DYSTROPHY 18; CORD18	AR	headAndNeckEyes
PNP	PURINE NUCLEOSIDE PHOSPHORYLASE DEFICIENCY	AR	growthOther, neurologicCentralNervousSystem, immunology, genitourinaryKidneys, headAndNeckEars, respiratoryAirways, hematology, neoplasia, laboratoryAbnormalities, respiratoryLung, cardiovascularVascular, respiratoryNasopharynx, abdomenSpleen, headAndNeckHead
GLRA1	HYPEREKPLEXIA 1; HKPX1	AD	abdomenExternalFeatures, neurologicCentralNervousSystem, skeletalPelvis, neurologicBehavioralPsychiatricManifestations
CFB	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4; AHUS4	AD	cardiovascularVascular, immunology, hematology, laboratoryAbnormalities, genitourinaryKidneys
CYB5A	METHEMOGLOBINEMIA AND AMBIGUOUS GENITALIA; METAG	AR	genitourinaryExternalGenitaliaMale, skinNailsHairSkin, hematology, laboratoryAbnormalities, endocrineFeatures
RPS29	DIAMOND-BLACKFAN ANEMIA 13; DBA13	AD	neoplasia, laboratoryAbnormalities, hematology
SPG19	SPASTIC PARAPLEGIA 19, AUTOSOMAL DOMINANT; SPG19	AD	genitourinaryBladder, neurologicCentralNervousSystem
FAR1	PEROXISOMAL FATTY ACYL-CoA REDUCTASE 1 DISORDER; PFCRD	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue
CREBBP	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1	AD	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, neoplasia, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, immunology, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, skeletalSpine, skinNailsHairHair, genitourinaryInternalGenitaliaMale, headAndNeckEyes
BRF1	CEREBELLOFACIODENTAL SYNDROME; CFDS	AR	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, growthHeight, respiratoryLarynx, headAndNeckTeeth, skeletalHands, headAndNeckEyes, skeletalSpine, headAndNeckNeck, skinNailsHairHair, skeletalLimbs
FAS	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME; ALPS	AD	skinNailsHairSkin, abdomenLiver, immunology, neoplasia, laboratoryAbnormalities, hematology, abdomenSpleen
MRX77	MENTAL RETARDATION, X-LINKED 77; MRX77	XLR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem
WDR73	GALLOWAY-MOWAT SYNDROME 1; GAMOS1	AR	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, growthWeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, genitourinaryKidneys, neurologicCentralNervousSystem, skeletal, headAndNeckMouth, muscleSoftTissue, skinNailsHairNails
WDR72	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA3; AI2A3	AR	headAndNeckTeeth
SPG16	SPASTIC PARAPLEGIA 16, X-LINKED; SPG16	XLR	skeletalSkull, neurologicCentralNervousSystem, abdomenGastrointestinal, genitourinaryBladder, headAndNeckFace, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations
CFAP44	SPERMATOGENIC FAILURE 20; SPGF20	AR	genitourinaryInternalGenitaliaMale
CFP	PROPERDIN DEFICIENCY, X-LINKED; CFPD	XLR	immunology, laboratoryAbnormalities
ACP33	MAST SYNDROME	AR	muscleSoftTissue, neurologicCentralNervousSystem, headAndNeckMouth, abdomenGastrointestinal, neurologicPeripheralNervousSystem
PCK2	PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY, MITOCHONDRIAL; PCKDM	AR	
AAAS	ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS	AR	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, growthHeight, neurologicPeripheralNervousSystem, endocrineFeatures, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, cardiovascular
RPL26	DIAMOND-BLACKFAN ANEMIA 11; DBA11	AD	genitourinaryKidneys, headAndNeckEars, growthHeight, headAndNeckMouth, hematology, cardiovascularHeart, skeletalHands, headAndNeckEyes, skeletalLimbs
YWHAE	MILLER-DIEKER LISSENCEPHALY SYNDROME; MDLS	AD	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, growthOther, headAndNeckHead, abdomenGastrointestinal, abdomenExternalFeatures, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, prenatalManifestationsMovement, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, genitourinaryKidneys, neurologicCentralNervousSystem, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart
HAMP	HEMOCHROMATOSIS, TYPE 2B; HFE2B	AR	skinNailsHairSkin, cardiovascularHeart, hematology, genitourinaryExternalGenitaliaMale, abdomenLiver, laboratoryAbnormalities, genitourinaryExternalGenitaliaFemale, abdomenSpleen
PPP2R3C	SPERMATOGENIC FAILURE 36; SPGF36 | GONADAL DYSGENESIS, DYSMORPHIC FACIES, RETINAL DYSTROPHY, AND MYOPATHY; GDRM	AR, AD	skinNailsHairSkin, abdomenExternalFeatures, skeletalPelvis, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, endocrineFeatures, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, muscleSoftTissue, skinNailsHairHair, genitourinaryInternalGenitaliaFemale
SHROOM	STOCCO DOS SANTOS X-LINKED MENTAL RETARDATION SYNDROME; SDSX	X-linked	neurologicCentralNervousSystem, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, skeletalFeet, growthHeight, headAndNeckMouth, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalSpine, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair
NQO2	BREAST CANCER	AD	neoplasia
SPRED1	LEGIUS SYNDROME; LGSS	AD	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckFace, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair
FAM58A	TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS; STAR	XLD	skeletalSkull, growthOther, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, growthWeight, cardiovascularVascular, headAndNeckMouth, genitourinaryBladder, cardiovascularHeart, genitourinaryUreters, skeletalSpine, genitourinaryExternalGenitaliaFemale, genitourinaryInternalGenitaliaFemale
PTHLH	BRACHYDACTYLY, TYPE E2; BDE2	AD	skeletalFeet, skeletalHands, growthHeight, headAndNeckTeeth
PRPF8	RETINITIS PIGMENTOSA 13; RP13	AD	headAndNeckEyes
DUP7q11.23	WILLIAMS-BEUREN REGION DUPLICATION SYNDROME	AD	skinNailsHairSkin, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, genitourinaryKidneys, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, genitourinaryInternalGenitaliaFemale
RCBTB1	RETINAL DYSTROPHY WITH OR WITHOUT EXTRAOCULAR ANOMALIES; RDEOA	AR	endocrineFeatures, respiratoryLung, headAndNeckEars, headAndNeckNeck, genitourinaryInternalGenitaliaFemale, headAndNeckEyes
ITF43	CRANIOECTODERMAL DYSPLASIA 3; CED3	AR	skinNailsHairSkin, skeletalSkull, headAndNeckHead, skeletalFeet, growthHeight, headAndNeckFace, abdomenLiver, skeletalHands, headAndNeckEyes, skeletalLimbs, genitourinaryKidneys, skinNailsHairNails, cardiovascularVascular, chestExternalFeatures, headAndNeckMouth, headAndNeckTeeth, skinNailsHairHair
PRPF3	RETINITIS PIGMENTOSA 18; RP18	AD	
ARL2BP	RETINITIS PIGMENTOSA 82 WITH OR WITHOUT SITUS INVERSUS; RP82	AR	chest, cardiovascular, abdomen, headAndNeckEyes
FCP1	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 3; HBFQTL3	X-linked (Xp22.2)	
PRPF4	RETINITIS PIGMENTOSA 70; RP70	AD	headAndNeckEyes
PRPF6	RETINITIS PIGMENTOSA 60; RP60	AD	headAndNeckEyes
Caused by mutation in the heterogeneous nuclear ribonucleoprotein A1 gene ({164017.0002})	AMYOTROPHIC LATERAL SCLEROSIS 20; ALS20	AD	neurologicCentralNervousSystem
CMT2H	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2H; CMT2H	AR	skeletalFeet, neurologicPeripheralNervousSystem
SAM	AICARDI-GOUTIERES SYNDROME 5; AGS5 | CHILBLAIN LUPUS 2; CHBL2 | USHER SYNDROME, TYPE IG; USH1G	AR, AD	skinNailsHairSkin, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletal, headAndNeckMouth, hematology, skinNailsHairSkinHistology, headAndNeckEyes, laboratoryAbnormalities
RGS5	HYPERTENSION, ESSENTIAL	Multifactorial	cardiovascularVascular
SAC	HYPERCALCIURIA, ABSORPTIVE, 2; HCA2	AD	genitourinaryKidneys, laboratoryAbnormalities
SIX6	OPTIC DISC ANOMALIES WITH RETINAL AND/OR MACULAR DYSTROPHY; ODRMD	AR	headAndNeckEyes
SAG	OGUCHI DISEASE 1	AR	headAndNeckEyes
SIX1	DEAFNESS, AUTOSOMAL DOMINANT 23; DFNA23 | BRANCHIOOTIC SYNDROME 3; BOS3	AD	genitourinaryUreters, genitourinaryKidneys, headAndNeckEars, headAndNeckNeck, headAndNeckEyes
SIX3	HOLOPROSENCEPHALY 2; HPE2	AD	neurologicCentralNervousSystem, headAndNeckHead, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, endocrineFeatures
ESRP1	DEAFNESS, AUTOSOMAL RECESSIVE 109; DFNB109	AR	headAndNeckEars
HSN1B	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE I, WITH COUGH AND GASTROESOPHAGEAL REFLUX	AD	respiratory, abdomenGastrointestinal, headAndNeckEars, respiratoryLarynx, neurologicPeripheralNervousSystem, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, headAndNeckEyes, voice
CNPY3	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 60; EIEE60	AR	growthOther, neurologicCentralNervousSystem
RELN	EPILEPSY, FAMILIAL TEMPORAL LOBE, 7; ETL7 | LISSENCEPHALY 2; LIS2	AR, AD	neurologicCentralNervousSystem
PRS	PRIETO X-LINKED MENTAL RETARDATION SYNDROME; PRS	XLR	skinNailsHairSkin, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, skeletalPelvis, headAndNeckEars, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, skeletalFeet, skeletalLimbs
NODAL	HETEROTAXY, VISCERAL, 5, AUTOSOMAL; HTX5	AD	cardiovascularHeart, growthOther, cardiovascularVascular, abdomen, abdomenSpleen
SCZD5	SCHIZOPHRENIA; SCZD	AD	neurologicCentralNervousSystem, laboratoryAbnormalities
RELB	IMMUNODEFICIENCY 53; IMD53	AR	headAndNeckEars, growthOther, respiratory, immunology
RELA	MUCOCUTANEOUS ULCERATION, CHRONIC; CMCU	AD	immunology, headAndNeckMouth, abdomenGastrointestinal, genitourinaryInternalGenitaliaFemale
